"'Classe Pericolo: ","'","'HP4-5-14 ","'Destino: ","'","'","'",
"'Confezionamento: ","'","'5 FUSTI su 2 PALLET ","'","'","'","'",
"'Destinazione: ","'","'ECOVIP - ADR UN3082 MATERIA PERICOLOSA contenenti olio) - 9 - III (-) Limite esenzione ","'DAL PUNTO 1.1.3.6: 1000 ","'DI VISTA DELL'AMBIENTE, L ","'LIQUIDA N.A.S. (acque di ","'lavaggio ",
"'150203 ","'","'Assorbenti, materiali filtranti, stracci e indumenti ","'protettivi ","'non pericolosi ","'Solido non pulverulento ","'",
"'Classe Pericolo: ","'","'","'Destino: ","'R13 ","'","'",
"'Confezionamento: ","'","'1 BIG BAG DI FILTRI ARA NELLE ANNOTAZIONI ","'SCRIVERE ","'""FILTRI ARIA" ","'","'",
"'Destinazione: ","'","'ECOVIP ""FILTRI ARIA" ","'","'","'","'",
"'160107 ","'","'Filtri dell'olio ","'","'","'Solido non pulverulento ","'",
"'Classe Pericolo: ","'","'HP4 HP5 HP14 ","'Destino: ","'R13 ","'","'",
"'Confezionamento: ","'","'1 FUSTO ","'","'","'","'",
"'Destinazione: ","'","'ECOVIP - UN3548 OGGETTI CONTENENTI MERCI esenzione 1.1.3.6: illimitato ","'PERICOLOSE ","'DIVERSE, N.A.S. ","'(filtri contenenti olio) - 9 - ELimite ","'",
"'160112 ","'","'Pastiglie per freni ","'","'","'Solido non pulverulento ","'",
"'Classe Pericolo: ","'","'","'Destino: ","'R13 ","'","'",
"'Confezionamento: ","'","'1 BIG BAG ","'","'","'","'",
